Listing of Field Curvature Data

File : Z:\harding On My Mac\SDSS4\DuPontFocalPlaneDesign\zplMacro\Nov12_2016\Bowen&Vaughn_bendtomatch_PrimSecParamsFrom19020Apr2LessVignetting.ZMX
Title: Du Pont 100-in from B&V corrected less vignetting
Date : 11/13/2016


Distortion Type: F-Theta
Shift units are Millimeters.
Height units are Millimeters.
Distortion units are Millimeters.
Maximum Field is 1.000 Degrees.

Data for wavelength : 0.760000 µm.
Distortion focal length = 18867.00450
  Y Angle (deg)	      Tan Shift	      Sag Shift	    Real Height	    Ref. Height	     Distortion
     0.64000000	     0.02670232	    -0.06597275	   211.31364835	   210.74646301	     0.56718534	
     0.65000000	     0.03059277	    -0.06445813	   214.63370538	   214.03937649	     0.59432889	
     0.66000000	     0.03456164	    -0.06286121	   217.95462151	   217.33228998	     0.62233153	
     0.67000000	     0.03860906	    -0.06117933	   221.27641063	   220.62520346	     0.65120716	
     0.68000000	     0.04273510	    -0.05940981	   224.59908666	   223.91811695	     0.68096971	
     0.69000000	     0.04693978	    -0.05754991	   227.92266355	   227.21103043	     0.71163312	
     0.70000000	     0.05122306	    -0.05559687	   231.24715529	   230.50394392	     0.74321137	
     0.71000000	     0.05558484	    -0.05354789	   234.57257590	   233.79685740	     0.77571850	
     0.72000000	     0.06002496	    -0.05140015	   237.89893942	   237.08977088	     0.80916853	
     0.73000000	     0.06454318	    -0.04915078	   241.22625994	   240.38268437	     0.84357557	
     0.74000000	     0.06913920	    -0.04679687	   244.55455158	   243.67559785	     0.87895372	
     0.75000000	     0.07381265	    -0.04433549	   247.88382848	   246.96851134	     0.91531714	
     0.76000000	     0.07856307	    -0.04176367	   251.21410482	   250.26142482	     0.95268000	
     0.77000000	     0.08338994	    -0.03907841	   254.54539484	   253.55433831	     0.99105653	
     0.78000000	     0.08829265	    -0.03627667	   257.87771277	   256.84725179	     1.03046098	
     0.79000000	     0.09327050	    -0.03335537	   261.21107291	   260.14016528	     1.07090763	
     0.80000000	     0.09832272	    -0.03031143	   264.54548959	   263.43307876	     1.11241083	
     0.81000000	     0.10344842	    -0.02714169	   267.88097716	   266.72599225	     1.15498491	
     0.82000000	     0.10864663	    -0.02384300	   271.21755003	   270.01890573	     1.19864430	
     0.83000000	     0.11391630	    -0.02041215	   274.55522262	   273.31181921	     1.24340341	
     0.84000000	     0.11925625	    -0.01684592	   277.89400942	   276.60473270	     1.28927672	
     0.85000000	     0.12466522	    -0.01314103	   281.23392494	   279.89764618	     1.33627876	
     0.86000000	     0.13014182	    -0.00929419	   284.57498372	   283.19055967	     1.38442406	
     0.87000000	     0.13568455	    -0.00530208	   287.91720036	   286.48347315	     1.43372721	
     0.88000000	     0.14129182	    -0.00116134	   291.26058949	   289.77638664	     1.48420285	
     0.89000000	     0.14696190	     0.00313141	   294.60516576	   293.06930012	     1.53586564	
     0.90000000	     0.15269294	     0.00757960	   297.95094390	   296.36221361	     1.58873030	
     0.91000000	     0.15848295	     0.01218666	   301.29793866	   299.65512709	     1.64281157	
     0.92000000	     0.16432985	     0.01695608	   304.64616482	   302.94804057	     1.69812424	
     0.93000000	     0.17023138	     0.02189136	   307.99563722	   306.24095406	     1.75468316	
     0.94000000	     0.17618517	     0.02699604	   311.34637073	   309.53386754	     1.81250318	
     0.95000000	     0.18218869	     0.03227366	   314.69838027	   312.82678103	     1.87159924	
     0.96000000	     0.18823929	     0.03772783	   318.05168081	   316.11969451	     1.93198629	
     0.97000000	     0.19433414	     0.04336217	   321.40628734	   319.41260800	     1.99367934	
     0.98000000	     0.20047028	     0.04918031	   324.76221491	   322.70552148	     2.05669343	
     0.99000000	     0.20664457	     0.05518593	   328.11947863	   325.99843497	     2.12104366	
     1.00000000	     0.21285372	     0.06138272	   331.47809362	   329.29134845	     2.18674517	
